Gene	Cancer	KEY	Tumor suppressor or oncogene prediction (by 20/20+)	Decision	Tissue Frequency	Pancan Frequency	Consensus Score	Correlation adusted score	Novel	Rescue Notes	Note about previous publication
EP300	CESC	EP300_CESC	tsg	official	0.109489051094891	0.0330432867055843	6	4.357534279547585	0	NA	Found in 28112728
EPAS1	PCPG	EPAS1_PCPG	oncogene	official	4.4692737430167599E-2	0.0133274589712523	6	4.250538814108435	0	NA	Found in 28162975
EPHA2	CHOL	EPHA2_CHOL	tsg	official	0.11764705882352899	0.0157506333296619	2.5	2.5	0	NA	0
EPHA2	PANCAN	EPHA2_PANCAN	tsg	official	"NA"	0.0157506333296619	2.5	1.984498591833	0	NA	0
EPHA2	HNSC	EPHA2_HNSC	tsg	official	4.7808764940239001E-2	0.0157506333296619	4	4	0	NA	0
EPHA3	PANCAN	EPHA3_PANCAN	NA	rescued	"NA"	0.0361273267981055	0	NA	0	Evidence from OncoImpact (SNV result)	NA
ERBB2	ESCA	ERBB2_ESCA	possible oncogene	official	4.6511627906976702E-2	0.0227998678268532	0.5	0	0	NA	Found in 28052061
ERBB2	STAD	ERBB2_STAD	oncogene	official	4.20168067226891E-2	0.0227998678268532	2	2	0	NA	Found in 25079317
ERBB2	UCEC	ERBB2_UCEC	oncogene	official	4.5454545454545497E-2	0.0227998678268532	2	2	0	NA	0
ERBB2	CESC	ERBB2_CESC	oncogene	official	5.1094890510948898E-2	0.0227998678268532	2.5	2.5	0	NA	0
ERBB2	BLCA	ERBB2_BLCA	oncogene	official	0.12953367875647701	0.0227998678268532	3	2.5796734569315	0	NA	0
ERBB2	PANCAN	ERBB2_PANCAN	oncogene	official	"NA"	0.0227998678268532	3.5	2.984498591833	0	NA	0
ERBB2	BRCA	ERBB2_BRCA	oncogene	official	2.5673940949935799E-2	0.0227998678268532	5	4.51789786493	0	NA	0
ERBB3	CESC	ERBB3_CESC	oncogene	official	5.1094890510948898E-2	0.0256636193413372	1.5	1.5	0	NA	Found in 28112728
ERBB3	BLCA	ERBB3_BLCA	oncogene	official	0.119170984455959	0.0256636193413372	2	1.5796734569315	0	NA	Found in 24476821
ERBB3	PANCAN	ERBB3_PANCAN	possible oncogene	official	"NA"	0.0256636193413372	2	2	0	NA	0
ERBB3	UCEC	ERBB3_UCEC	oncogene	official	7.8282828282828301E-2	0.0256636193413372	2	2	0	NA	0
ERBB4	STAD	ERBB4_STAD	oncogene	official	9.8039215686274495E-2	0.038550501156515	1.5	1.5	0	NA	0
ERCC2	PANCAN	ERCC2_PANCAN	possible oncogene	official	"NA"	0.0113448617689173	1	0	0	NA	Found in 24132290
ERCC2	BLCA	ERCC2_BLCA	oncogene	official	9.3264248704663197E-2	0.0113448617689173	3.5	3.0796734569315	0	NA	Found in 24476821
ESR1	PANCAN	ESR1_PANCAN	NA	rescued	"NA"	0.0112347174798987	0	NA	0	Evidence from OncoImpact (SNV result) & Structural tools	NA
EZH2	LAML	EZH2_LAML	NA	rescued	0	0.00815067738737746	0	NA	0	Poor Variant Calling in liquid tumor, from manuscript	NA
FAM46D	STAD	FAM46D_STAD	oncogene	official	1.9607843137254902E-2	0.0110144289018614	1	0	1	NA	Found in 25079317
FAT1	CESC	FAT1_CESC	possible tsg	official	8.0291970802919693E-2	0.0622315232955171	2	2	0	NA	0
FAT1	UCEC	FAT1_UCEC	tsg	official	0.15151515151515199	0.0622315232955171	2	1.7023006259305	0	NA	0
FAT1	BLCA	FAT1_BLCA	tsg	official	0.116580310880829	0.0622315232955171	2.5	2.0796734569315	0	NA	0
FAT1	PANCAN	FAT1_PANCAN	tsg	official	"NA"	0.0622315232955171	2.5	1.984498591833	0	NA	Found in 24132290
FAT1	LUSC	FAT1_LUSC	tsg	official	0.15517241379310301	0.0622315232955171	3.5	3.5	0	NA	0
FAT1	HNSC	FAT1_HNSC	tsg	official	0.24103585657370499	0.0622315232955171	4	4	0	NA	Found in 25631445
FBXW7	BRCA	FBXW7_BRCA	possible oncogene	official	1.7971758664955099E-2	0.0376693468443661	1.5	1.5	0	NA	0
FBXW7	ESCA	FBXW7_ESCA	tsg	official	5.2325581395348798E-2	0.0376693468443661	2	2	0	NA	0
FBXW7	STAD	FBXW7_STAD	tsg	official	3.0812324929972001E-2	0.0376693468443661	2	2	0	NA	0
FBXW7	LUSC	FBXW7_LUSC	possible tsg	official	5.6034482758620698E-2	0.0376693468443661	2.5	2.5	0	NA	0
FBXW7	UCEC	FBXW7_UCEC	possible oncogene	official	0.164141414141414	0.0376693468443661	3.5	3.2023006259305	0	NA	Found in 23636398
FBXW7	BLCA	FBXW7_BLCA	tsg	official	9.0673575129533696E-2	0.0376693468443661	4.5	3.434101995475835	0	NA	Found in 24476821
FBXW7	COADREAD	FBXW7_COADREAD	tsg	official	0.120253164556962	0.0376693468443661	4.5	3.5	0	NA	Found in 22810696
FBXW7	PANCAN	FBXW7_PANCAN	tsg	official	"NA"	0.0376693468443661	4.5	3.984498591833	0	NA	Found in 24132290
FBXW7	CESC	FBXW7_CESC	possible tsg	official	0.113138686131387	0.0376693468443661	5.5	3.857534279547585	0	NA	Found in 28112728
FBXW7	UCS	FBXW7_UCS	oncogene	official	0.381818181818182	0.0376693468443661	5.5	4.8186765479605	0	NA	Found in 28292439
FBXW7	HNSC	FBXW7_HNSC	possible tsg	official	7.5697211155378502E-2	0.0376693468443661	6	4.914535963739545	0	NA	0
FGFR1	PANCAN	FGFR1_PANCAN	NA	rescued	"NA"	0.0114550060579359	0	NA	0	Evidence from OncoIMPACT (SNV result)	NA
FGFR2	LUSC	FGFR2_LUSC	oncogene	official	3.0172413793103401E-2	0.0193853948672761	1.5	1.5	0	NA	0
FGFR2	PANCAN	FGFR2_PANCAN	oncogene	official	"NA"	0.0193853948672761	1.5	1.5	0	NA	Found in 24132290
FGFR2	UCEC	FGFR2_UCEC	oncogene	official	0.12121212121212099	0.0193853948672761	2.5	2.2023006259305	0	NA	0
FGFR3	PANCAN	FGFR3_PANCAN	oncogene	official	"NA"	0.0153100561735874	3	3	0	NA	Found in 24132290
FGFR3	HNSC	FGFR3_HNSC	oncogene	official	1.7928286852589601E-2	0.0153100561735874	3.5	2.995310465403	0	NA	0
FGFR3	BLCA	FGFR3_BLCA	oncogene	official	0.152849740932642	0.0153100561735874	4	3.194620121143745	0	NA	Found in 24476821
FLNA	HNSC	FLNA_HNSC	tsg	official	3.58565737051793E-2	0.0323824209714726	2	1.495310465403	1	NA	0
FLT3	LAML	FLT3_LAML	oncogene	official	5.0359712230215799E-2	0.0176230862429783	1.5	1.5	0	NA	Found in 23634996
FOXA1	BLCA	FOXA1_BLCA	possible tsg	official	3.8860103626942998E-2	0.013437603260271	1	0	0	NA	Found in 24476821
FOXA1	PANCAN	FOXA1_PANCAN	possible oncogene	official	"NA"	0.013437603260271	3.5	3.5	0	NA	Found in 24132290
FOXA1	PRAD	FOXA1_PRAD	possible oncogene	official	6.4989517819706494E-2	0.013437603260271	5	3.87271118197825	0	NA	Found in 26544944
FOXA1	BRCA	FOXA1_BRCA	oncogene	official	3.4659820282413399E-2	0.013437603260271	6	4.42274676008079	0	NA	0
FOXA2	UCEC	FOXA2_UCEC	possible tsg	official	5.5555555555555601E-2	0.00925212027756361	2	1.7023006259305	0	NA	0
FOXA2	PANCAN	FOXA2_PANCAN	possible tsg	official	"NA"	0.00925212027756361	2.5	2.5	0	NA	Found in 24132290
FOXQ1	BLCA	FOXQ1_BLCA	possible tsg	official	3.8860103626942998E-2	0.00528692587289349	0.5	0	0	NA	Found in 24476821
FUBP1	PANCAN	FUBP1_PANCAN	tsg	official	"NA"	0.0133274589712523	2.5	1.984498591833	0	NA	0
FUBP1	LGG	FUBP1_LGG	possible tsg	official	9.2156862745098003E-2	0.0133274589712523	5	3.066428460908175	0	NA	Found in 26061751
GABRA6	GBM	GABRA6_GBM	NA	official	4.5016077170418001E-2	0.0196056834453134	0.5	0	1	NA	Found in 24120142
GATA3	PANCAN	GATA3_PANCAN	possible tsg	official	"NA"	0.0240114550060579	1.5	1.5	0	NA	Found in 24132290
GATA3	BRCA	GATA3_BRCA	possible tsg	official	0.125802310654686	0.0240114550060579	4	2.947568696398	0	NA	Found in 23000897
GNA11	SKCM	GNA11_SKCM	oncogene	official	1.8957345971564E-2	0.00782024452032162	1.5	1.5	0	NA	0
GNA11	PANCAN	GNA11_PANCAN	oncogene	official	"NA"	0.00782024452032162	2	2	0	NA	0
GNA11	UVM	GNA11_UVM	oncogene	official	0.45	0.00782024452032162	4.5	3.2490414467765	0	NA	Found in private communication about integrative UVM analysis
GNA13	BLCA	GNA13_BLCA	oncogene	official	3.3678756476683898E-2	0.00594779160700518	1.5	1.5	0	NA	0
GNAQ	PANCAN	GNAQ_PANCAN	oncogene	official	"NA"	0.00914197598854499	3	2.484498591833	0	NA	0
GNAQ	UVM	GNAQ_UVM	oncogene	official	0.5	0.00914197598854499	5.5	3.65478461971499	0	NA	Found in private communication about integrative UVM analysis
GNAS	COADREAD	GNAS_COADREAD	oncogene	official	3.48101265822785E-2	0.0200462606013878	1.5	1.5	0	NA	0
GNAS	LIHC	GNAS_LIHC	oncogene	official	2.82485875706215E-2	0.0200462606013878	1.5	1.5	0	NA	0
GNAS	PAAD	GNAS_PAAD	oncogene	official	3.8709677419354799E-2	0.0200462606013878	2.5	2.5	0	NA	Found in private communication about integrative PAAD analysis
GPS2	BRCA	GPS2_BRCA	possible tsg	official	1.0269576379974299E-2	0.00506663729485626	2.5	2.01789786493	0	NA	0
GPS2	PANCAN	GPS2_PANCAN	tsg	official	"NA"	0.00506663729485626	2.5	1.984498591833	0	NA	0
GRIN2D	PANCAN	GRIN2D_PANCAN	possible oncogene	official	"NA"	0.0117854389249917	1.5	1.5	1	NA	0
GTF2I	PANCAN	GTF2I_PANCAN	oncogene	official	"NA"	0.0145390461504571	1.5	1.5	1	NA	0
GTF2I	THYM	GTF2I_THYM	oncogene	official	0.495867768595041	0.0145390461504571	3.5	2.809729723126995	1	NA	Found in private communication about integrative THYM analysis
H3F3A	PANCAN	H3F3A_PANCAN	possible oncogene	official	"NA"	0.00341447295957705	1.5	1.5	0	NA	0
H3F3C	PANCAN	H3F3C_PANCAN	NA	official	"NA"	0.00704923449719132	0.5	0	0	NA	Found in 24132290
HGF	PANCAN	HGF_PANCAN	NA	rescued	"NA"	0.023130300693909	0	NA	0	Evidence from OncoImpact/DriverNET overlap (SNV result)	NA
HIST1H1C	PANCAN	HIST1H1C_PANCAN	NA	rescued	"NA"	0.0113448617689173	0	NA	0	Expert curation	NA
HIST1H1E	DLBC	HIST1H1E_DLBC	possible oncogene	official	0.27027027027027001	0.0107941403238242	2	1.195172191928	0	NA	0
HIST1H1E	LIHC	HIST1H1E_LIHC	possible tsg	official	1.41242937853107E-2	0.0107941403238242	2	1.456097109009	0	NA	0
HLA-A	LUSC	HLA-A_LUSC	possible tsg	official	1.29310344827586E-2	0.00704923449719132	1.5	1.5	0	NA	Found in 22960745
HLA-A	HNSC	HLA-A_HNSC	possible tsg	official	4.3824701195219098E-2	0.00704923449719132	2.5	1.964631417009995	0	NA	Found in 25631445
HLA-A	PANCAN	HLA-A_PANCAN	tsg	official	"NA"	0.00704923449719132	3	2.484498591833	0	NA	0
HLA-B	DLBC	HLA-B_DLBC	tsg	official	0.108108108108108	0.00914197598854499	2	2	0	NA	0
HLA-B	HNSC	HLA-B_HNSC	tsg	official	3.9840637450199202E-2	0.00914197598854499	2.5	2.5	0	NA	0
HLA-B	PANCAN	HLA-B_PANCAN	tsg	official	"NA"	0.00914197598854499	2.5	1.984498591833	0	NA	0
HLA-B	CESC	HLA-B_CESC	tsg	official	3.6496350364963501E-2	0.00914197598854499	3	3	0	NA	Found in 28112728
HRAS	SKCM	HRAS_SKCM	oncogene	official	1.6587677725118499E-2	0.0145390461504571	0.5	0	0	NA	Found in 26091043
HRAS	LUSC	HRAS_LUSC	oncogene	official	1.72413793103448E-2	0.0145390461504571	2	2	0	NA	0
HRAS	PRAD	HRAS_PRAD	oncogene	official	8.3857442348008408E-3	0.0145390461504571	2.5	2.5	0	NA	Found in 26544944
HRAS	BLCA	HRAS_BLCA	oncogene	official	4.92227979274611E-2	0.0145390461504571	3	2.5796734569315	0	NA	Found in 24476821
HRAS	HNSC	HRAS_HNSC	oncogene	official	6.3745019920318696E-2	0.0145390461504571	4	3.495310465403	0	NA	0
HRAS	PANCAN	HRAS_PANCAN	oncogene	official	"NA"	0.0145390461504571	4	4	0	NA	0
HRAS	THYM	HRAS_THYM	oncogene	official	8.2644628099173598E-2	0.0145390461504571	4.5	3.809729723126995	0	NA	Found in private communication about integrative THYM analysis
HRAS	THCA	HRAS_THCA	oncogene	official	3.4552845528455299E-2	0.0145390461504571	5	4.560581020435	0	NA	Found in 25417114
HRAS	PCPG	HRAS_PCPG	oncogene	official	0.100558659217877	0.0145390461504571	5.5	3.5091265920865	0	NA	Found in 28162975
HUWE1	HNSC	HUWE1_HNSC	possible tsg	official	0.101593625498008	0.0487939200352462	2.5	2.5	0	NA	0
IDH1	LIHC	IDH1_LIHC	oncogene	official	1.9774011299434999E-2	0.0556228659544003	2.5	2.5	0	NA	0
IDH1	PRAD	IDH1_PRAD	oncogene	official	8.3857442348008408E-3	0.0556228659544003	3.5	3.03518270307275	0	NA	0
IDH1	LAML	IDH1_LAML	oncogene	official	3.5971223021582698E-2	0.0556228659544003	4	2.93622679186	0	NA	Found in 23634996
IDH1	CHOL	IDH1_CHOL	oncogene	official	0.14705882352941199	0.0556228659544003	4.5	3.802840659402	0	NA	Found in 28297679
IDH1	GBM	IDH1_GBM	oncogene	official	5.1446945337620599E-2	0.0556228659544003	4.5	3.74150733773425	0	NA	Found in 24120142
IDH1	SKCM	IDH1_SKCM	oncogene	official	5.6872037914691899E-2	0.0556228659544003	4.5	4.5	0	NA	Found in 26091043
IDH1	PANCAN	IDH1_PANCAN	oncogene	official	"NA"	0.0556228659544003	5	4.484498591833	0	NA	Found in 24132290
IDH1	LGG	IDH1_LGG	oncogene	official	0.77843137254901995	0.0556228659544003	7.5	5.1185875407549	0	NA	Found in 26061751
IDH2	PANCAN	IDH2_PANCAN	possible oncogene	official	"NA"	0.00649851305209825	1	0	0	NA	Found in 24132290
IDH2	LAML	IDH2_LAML	oncogene	official	5.7553956834532398E-2	0.00649851305209825	4.5	3.8629109186025	0	NA	Found in 23634996
IDH2	LGG	IDH2_LGG	oncogene	official	4.11764705882353E-2	0.00649851305209825	4.5	3.700964702755	0	NA	Found in 26061751
IL6ST	LIHC	IL6ST_LIHC	possible tsg	official	3.3898305084745797E-2	0.00980284172265668	1.5	1.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
IL7R	PANCAN	IL7R_PANCAN	NA	rescued	"NA"	0.0190549620002203	0	NA	0	Evidence from OncoImpact (CNA result)	NA
INPPL1	PANCAN	INPPL1_PANCAN	possible tsg	official	"NA"	0.0187245291331644	1.5	1.5	0	NA	0
INPPL1	UCEC	INPPL1_UCEC	possible tsg	official	0.10353535353535399	0.0187245291331644	1.5	1.2023006259305	0	NA	0
IRF2	PANCAN	IRF2_PANCAN	tsg	official	"NA"	0.00815067738737746	2	1.484498591833	1	NA	0
IRF6	PANCAN	IRF6_PANCAN	possible tsg	official	"NA"	0.00771010023130301	2.5	2.5	0	NA	0
JAK1	PANCAN	JAK1_PANCAN	tsg	official	"NA"	0.0136578918383082	1.5	1.5	0	NA	0
JAK2	PANCAN	JAK2_PANCAN	NA	rescued	"NA"	0.0110144289018614	0	NA	0	Evidence from DriverNet (SNV result)	NA
JAK3	PANCAN	JAK3_PANCAN	NA	rescued	"NA"	0.015420200462606	0	NA	0	Evidence from OncoImpact (SNV result)	NA
KANSL1	BLCA	KANSL1_BLCA	tsg	official	5.1813471502590698E-2	0.0180636633990528	2	2	1	NA	0
KANSL1	UCEC	KANSL1_UCEC	tsg	official	9.3434343434343398E-2	0.0180636633990528	2	1.7023006259305	1	NA	0
KANSL1	PANCAN	KANSL1_PANCAN	tsg	official	"NA"	0.0180636633990528	2.5	1.984498591833	1	NA	0
KDM5C	PANCAN	KDM5C_PANCAN	possible tsg	official	"NA"	0.015420200462606	1.5	1.5	0	NA	Found in 24132290
KDM5C	KIRC	KDM5C_KIRC	tsg	official	5.4347826086956499E-2	0.015420200462606	4	2.96963978780667	0	NA	Found in 23792563
KDM6A	HNSC	KDM6A_HNSC	tsg	official	3.7848605577689202E-2	0.02940852516797	2	1.495310465403	0	NA	0
KDM6A	PAAD	KDM6A_PAAD	tsg	official	4.5161290322580601E-2	0.02940852516797	2	1.453312720865	0	NA	0
KDM6A	PRAD	KDM6A_PRAD	possible tsg	official	2.3060796645702299E-2	0.02940852516797	2	2	0	NA	0
KDM6A	LUSC	KDM6A_LUSC	tsg	official	5.1724137931034503E-2	0.02940852516797	2.5	2.5	0	NA	0
KDM6A	BLCA	KDM6A_BLCA	tsg	official	0.26424870466321199	0.02940852516797	3.5	2.434101995475835	0	NA	Found in 24476821
KDM6A	KIRP	KDM6A_KIRP	tsg	official	3.2727272727272702E-2	0.02940852516797	3.5	2.948864498998	0	NA	Found in 26536169
KDM6A	PANCAN	KDM6A_PANCAN	tsg	official	"NA"	0.02940852516797	3.5	2.984498591833	0	NA	Found in 24132290
KEAP1	LIHC	KEAP1_LIHC	possible tsg	official	5.0847457627118599E-2	0.0243418878731138	1.5	1.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
KEAP1	HNSC	KEAP1_HNSC	possible oncogene	official	4.5816733067729098E-2	0.0243418878731138	2	2	0	NA	0
KEAP1	PANCAN	KEAP1_PANCAN	possible tsg	official	"NA"	0.0243418878731138	2	2	0	NA	Found in 24132290
KEAP1	LUAD	KEAP1_LUAD	possible tsg	official	0.17169373549884001	0.0243418878731138	3.5	3.5	0	NA	Found in 25079552
KEAP1	LUSC	KEAP1_LUSC	oncogene	official	0.109913793103448	0.0243418878731138	4	4	0	NA	Found in 22960745
KEL	GBM	KEL_GBM	NA	official	5.4662379421221902E-2	0.0209274149135367	0.5	0	0	NA	Found in 24120142
KIF1A	KIRC	KIF1A_KIRC	tsg	official	1.6304347826087001E-2	0.0255534750523185	3	1.96963978780667	1	NA	0
KIT	LAML	KIT_LAML	oncogene	official	2.15827338129496E-2	0.0209274149135367	1.5	1.5	0	NA	Found in 23634996
KIT	PANCAN	KIT_PANCAN	possible oncogene	official	"NA"	0.0209274149135367	2	2	0	NA	Found in 24132290
KIT	SKCM	KIT_SKCM	oncogene	official	4.2654028436019002E-2	0.0209274149135367	2	2	0	NA	0
KIT	TGCT	KIT_TGCT	oncogene	official	0.14482758620689701	0.0209274149135367	6.5	6.0664106113115	0	NA	Found in private communication about integrative TGCT analysis
KLF5	PANCAN	KLF5_PANCAN	possible oncogene	official	"NA"	0.00969269743363807	1.5	1.5	1	NA	0
KLF5	BLCA	KLF5_BLCA	possible oncogene	official	5.4404145077720199E-2	0.00969269743363807	2	1.5796734569315	1	NA	Found in 24476821
KLF5	LUSC	KLF5_LUSC	oncogene	official	2.5862068965517199E-2	0.00969269743363807	2	2	1	NA	0
KLF5	CESC	KLF5_CESC	possible oncogene	official	3.2846715328467203E-2	0.00969269743363807	2.5	2.5	1	NA	0
KMT2A	PANCAN	KMT2A_PANCAN	tsg	official	"NA"	0.03656790395418	2.5	1.984498591833	0	NA	0
KMT2B	PANCAN	KMT2B_PANCAN	tsg	official	"NA"	0.0320519881044168	2	1.484498591833	1	NA	0
KMT2B	UCEC	KMT2B_UCEC	tsg	official	0.17676767676767699	0.0320519881044168	2.5	2.5	1	NA	0
KMT2C	UCEC	KMT2C_UCEC	tsg	official	0.16161616161616199	0.0810661967177002	1.5	1.5	0	NA	0
KMT2C	BLCA	KMT2C_BLCA	tsg	official	0.20207253886010401	0.0810661967177002	2.5	2.0796734569315	0	NA	0
KMT2C	PANCAN	KMT2C_PANCAN	tsg	official	"NA"	0.0810661967177002	3	2.484498591833	0	NA	Found in 24132290
KMT2C	BRCA	KMT2C_BRCA	tsg	official	9.4993581514762504E-2	0.0810661967177002	3.5	3.017897864929995	0	NA	Found in 23000897
KMT2C	CESC	KMT2C_CESC	tsg	official	0.17518248175182499	0.0810661967177002	4	3.451602973249	0	NA	0
KMT2D	ESCA	KMT2D_ESCA	tsg	official	0.127906976744186	0.0832690824980725	2	2	0	NA	Found in 28052061
KMT2D	BLCA	KMT2D_BLCA	tsg	official	0.26943005181347202	0.0832690824980725	2.5	2.0796734569315	0	NA	Found in 24476821
KMT2D	PRAD	KMT2D_PRAD	tsg	official	5.6603773584905703E-2	0.0832690824980725	2.5	2.5	0	NA	0
KMT2D	CESC	KMT2D_CESC	tsg	official	0.14963503649634999	0.0832690824980725	3	3	0	NA	0
KMT2D	PANCAN	KMT2D_PANCAN	tsg	official	"NA"	0.0832690824980725	3	2.484498591833	0	NA	Found in 24132290
KMT2D	HNSC	KMT2D_HNSC	tsg	official	0.151394422310757	0.0832690824980725	3.5	3.5	0	NA	Found in 25631445
KMT2D	LUSC	KMT2D_LUSC	tsg	official	0.22413793103448301	0.0832690824980725	3.5	3.5	0	NA	Found in 22960745
KMT2D	DLBC	KMT2D_DLBC	tsg	official	0.35135135135135098	0.0832690824980725	4	3.195172191928	0	NA	0
KRAS	SKCM	KRAS_SKCM	oncogene	official	2.1327014218009501E-2	0.0695010463707457	1	0	0	NA	Found in 26091043
KRAS	THCA	KRAS_THCA	oncogene	official	8.1300813008130107E-3	0.0695010463707457	1	0	0	NA	Found in 25417114
KRAS	BRCA	KRAS_BRCA	oncogene	official	8.9858793324775407E-3	0.0695010463707457	2.5	2.5	0	NA	0
KRAS	KIRP	KRAS_KIRP	oncogene	official	1.8181818181818198E-2	0.0695010463707457	2.5	2.5	0	NA	0
KRAS	LIHC	KRAS_LIHC	oncogene	official	1.6949152542372899E-2	0.0695010463707457	2.5	2.5	0	NA	Found in private communication about integrative LIHC analysis
KRAS	OV	KRAS_OV	oncogene	official	1.4705882352941201E-2	0.0695010463707457	2.5	2.5	0	NA	0
KRAS	STAD	KRAS_STAD	oncogene	official	7.0028011204481794E-2	0.0695010463707457	2.5	2.5	0	NA	Found in 25079317
KRAS	BLCA	KRAS_BLCA	oncogene	official	4.1450777202072499E-2	0.0695010463707457	3	2.5796734569315	0	NA	0
KRAS	CESC	KRAS_CESC	oncogene	official	6.2043795620437998E-2	0.0695010463707457	3.5	2.951602973249	0	NA	Found in 28112728
KRAS	LAML	KRAS_LAML	oncogene	official	4.3165467625899297E-2	0.0695010463707457	3.5	2.8629109186025	0	NA	Found in 23634996
KRAS	TGCT	KRAS_TGCT	oncogene	official	8.2758620689655199E-2	0.0695010463707457	3.5	3.0664106113115	0	NA	Found in private communication about integrative TGCT analysis
KRAS	UCEC	KRAS_UCEC	oncogene	official	0.20959595959596	0.0695010463707457	3.5	3.2023006259305	0	NA	Found in 23636398
KRAS	UCS	KRAS_UCS	oncogene	official	0.12727272727272701	0.0695010463707457	3.5	2.8186765479605	0	NA	Found in 28292439
KRAS	PANCAN	KRAS_PANCAN	oncogene	official	"NA"	0.0695010463707457	4.5	3.984498591833	0	NA	Found in 24132290
KRAS	COADREAD	KRAS_COADREAD	oncogene	official	0.477848101265823	0.0695010463707457	5.5	4.42695558566189	0	NA	Found in 22810696
KRAS	LUAD	KRAS_LUAD	oncogene	official	0.31554524361948999	0.0695010463707457	5.5	4.995926434204	0	NA	Found in 25079552
KRAS	PAAD	KRAS_PAAD	oncogene	official	0.73548387096774204	0.0695010463707457	6.5	4.50049327488453	0	NA	Found in private communication about integrative PAAD analysis
KRT222	PANCAN	KRT222_PANCAN	possible tsg	official	"NA"	0.00341447295957705	1.5	1.5	1	NA	0
LATS1	CESC	LATS1_CESC	tsg	official	3.6496350364963501E-2	0.0145390461504571	3	1.905931306298585	1	NA	0
LATS2	MESO	LATS2_MESO	tsg	official	9.8765432098765399E-2	0.0131071703932151	3.5	2.271358256739	1	NA	0
LEMD2	PANCAN	LEMD2_PANCAN	NA	official	"NA"	0.00440577156074458	1.5	1.5	1	NA	0
LZTR1	GBM	LZTR1_GBM	possible oncogene	official	3.53697749196141E-2	0.0148694790175129	1	0	0	NA	Found in 24120142
LZTR1	LIHC	LZTR1_LIHC	possible tsg	official	3.9548022598870101E-2	0.0148694790175129	1.5	1.07745676217175	0	NA	Found in private communication about integrative LIHC analysis
MACF1	PANCAN	MACF1_PANCAN	possible oncogene	rescued	"NA"	0.0598083489371076	0	NA	0	Evidence from DriverNet (SNV result)	NA
MAP2K1	PANCAN	MAP2K1_PANCAN	oncogene	official	"NA"	0.00881154312148915	3	2.484498591833	0	NA	0
MAP2K1	SKCM	MAP2K1_SKCM	oncogene	official	6.1611374407582901E-2	0.00881154312148915	4	4	0	NA	Found in 26091043
MAP2K4	PANCAN	MAP2K4_PANCAN	tsg	official	"NA"	0.0118955832140104	2.5	1.984498591833	0	NA	Found in 24132290
MAP2K4	BRCA	MAP2K4_BRCA	tsg	official	3.9794608472400503E-2	0.0118955832140104	5	3.42274676008079	0	NA	0
MAP3K1	CESC	MAP3K1_CESC	tsg	official	1.4598540145985399E-2	0.0207071263354995	2	2	0	NA	0
MAP3K1	PANCAN	MAP3K1_PANCAN	tsg	official	"NA"	0.0207071263354995	2.5	1.984498591833	0	NA	Found in 24132290
MAP3K1	UCEC	MAP3K1_UCEC	tsg	official	7.0707070707070704E-2	0.0207071263354995	3	2.7023006259305	0	NA	0
MAP3K1	BRCA	MAP3K1_BRCA	tsg	official	8.3440308087291401E-2	0.0207071263354995	4.5	2.92274676008079	0	NA	0
MAP3K4	UCS	MAP3K4_UCS	possible tsg	official	5.4545454545454501E-2	0.0179535191100341	2	2	0	NA	0
MAPK1	PANCAN	MAPK1_PANCAN	oncogene	official	"NA"	0.00682894591915409	2.5	1.984498591833	0	NA	0
MAPK1	HNSC	MAPK1_HNSC	oncogene	official	1.7928286852589601E-2	0.00682894591915409	3.5	3.5	0	NA	0
MAPK1	CESC	MAPK1_CESC	oncogene	official	4.7445255474452601E-2	0.00682894591915409	4.5	4.5	0	NA	Found in 28112728
MAX	UCEC	MAX_UCEC	oncogene	official	4.5454545454545497E-2	0.00649851305209825	1.5	1.5	0	NA	0
MAX	LGG	MAX_LGG	oncogene	official	7.8431372549019607E-3	0.00649851305209825	2.5	2.5	0	NA	0
MECOM	SKCM	MECOM_SKCM	possible oncogene	official	0.18246445497630301	0.0269853508095605	2	2	0	NA	0
MED12	PRAD	MED12_PRAD	oncogene	official	1.46750524109015E-2	0.0320519881044168	2.5	2.5	0	NA	Found in 26544944
MEN1	ACC	MEN1_ACC	tsg	official	7.7777777777777807E-2	0.00815067738737746	2.5	2.5	0	NA	Found in 27165744
MET	LUAD	MET_LUAD	possible tsg	official	4.4083526682134597E-2	0.0192752505782575	1	0	0	NA	Found in 25079552
MET	KIRP	MET_KIRP	oncogene	official	0.08	0.0192752505782575	4.5	3.783471494581	0	NA	Found in 26536169
MGA	LUAD	MGA_LUAD	tsg	official	6.9605568445475594E-2	0.0327128538385285	1	0	0	NA	Found in 25079552
MGA	PANCAN	MGA_PANCAN	tsg	official	"NA"	0.0327128538385285	2.5	1.984498591833	0	NA	0
MGMT	PANCAN	MGMT_PANCAN	NA	rescued	"NA"	0.00286375151448397	0	NA	0	Involved in hypermutator phenotype	NA
MLH1	PANCAN	MLH1_PANCAN	NA	rescued	"NA"	0.00969269743363807	0	NA	0	Involved in hypermutator phenotype	NA
MSH2	PANCAN	MSH2_PANCAN	NA	rescued	"NA"	0.00826082167639608	0	NA	0	Involved in hypermutator phenotype	NA
MSH3	PANCAN	MSH3_PANCAN	possible oncogene	rescued	"NA"	0.0100231303006939	0	NA	0	Involved in hypermutator phenotype	NA
